CMFD Cell,FSR id,Centroid
72,1647,"-2.395367,1.381292,-81.929110"
72,3471,"-2.381789,1.364950,-81.911027"
72,1441,"-2.389569,1.370130,-86.953073"
72,1442,"-2.395445,1.380720,-81.940050"
72,856,"-2.395922,1.377714,-81.875973"
72,3470,"-2.377503,1.350176,-86.893506"
72,855,"-2.395383,1.376518,-86.960536"
73,2238,"-1.692954,1.709497,-86.995863"
73,1583,"-1.875609,1.679257,-81.970030"
73,1582,"-1.871364,1.677316,-86.985613"
73,2239,"-1.688503,1.711567,-81.992334"
73,3361,"-1.717244,1.722466,-86.920813"
73,3965,"-1.740554,1.769114,-86.920988"
73,1581,"-1.794105,1.713064,-93.463702"
73,3362,"-1.708106,1.722526,-81.946982"
73,3966,"-1.732583,1.770296,-81.914220"
74,3550,"-1.137551,2.122704,-81.920293"
74,100,"-1.183242,2.067105,-93.479272"
74,1910,"-1.219662,2.013920,-86.914528"
74,335,"-1.224444,2.011082,-86.878683"
74,1911,"-1.225249,2.007062,-81.875081"
74,101,"-1.221967,2.029102,-86.934837"
74,3549,"-1.138088,2.128670,-86.973373"
74,102,"-1.220965,2.025937,-81.838893"
74,336,"-1.222587,2.006451,-81.838331"
75,680,"-0.561838,2.434538,-81.903412"
75,805,"-0.564537,2.439959,-81.901071"
75,82,"-0.660988,2.444216,-81.864534"
75,804,"-0.563947,2.441621,-86.958830"
75,2975,"-0.561436,2.452206,-81.909218"
75,80,"-0.606331,2.444980,-93.499780"
75,679,"-0.561192,2.436076,-86.959816"
75,81,"-0.662279,2.442481,-86.954788"
75,2974,"-0.560950,2.454022,-86.963066"
76,1273,"0.000000,2.795457,-93.456872"
76,3516,"-0.000000,2.671766,-81.849238"
76,3053,"-0.000000,2.873052,-86.957194"
76,3515,"-0.000000,2.671984,-86.906877"
76,2806,"0.000000,2.861915,-81.927795"
76,3054,"-0.000000,2.874782,-81.849489"
76,2805,"0.000000,2.858351,-86.942143"
76,1275,"0.000000,2.877044,-81.877113"
76,1274,"0.000000,2.869855,-86.970236"
85,697,"0.000000,-2.862339,-68.788757"
85,2707,"0.000000,-2.873632,-68.756968"
85,3772,"-0.000000,-2.874493,-68.756950"
85,3393,"-0.000000,-2.670018,-68.729642"
86,507,"0.561896,-2.453692,-68.799309"
86,143,"0.561984,-2.435475,-68.794988"
86,2946,"0.564719,-2.440716,-68.779647"
86,2574,"0.661470,-2.442702,-68.753964"
87,3085,"1.222020,-2.008553,-68.775683"
87,3318,"1.137000,-2.121441,-68.792443"
87,3177,"1.221372,-2.027182,-68.693135"
87,2054,"1.222050,-2.009977,-68.776213"
88,63,"1.687705,-1.711627,-68.888041"
88,1349,"1.732528,-1.768607,-68.809293"
88,3145,"1.875891,-1.679629,-68.851289"
88,3487,"1.707612,-1.721768,-68.855747"
89,3115,"2.394841,-1.379312,-68.790623"
89,2512,"2.395630,-1.376640,-68.757247"
89,3070,"2.395479,-1.379480,-68.801799"
89,2171,"2.382595,-1.364653,-68.800939"
93,1188,"-0.564719,-2.440716,-68.779647"
93,123,"-0.661470,-2.442702,-68.753964"
93,392,"-0.561984,-2.435475,-68.794988"
93,731,"-0.561896,-2.453692,-68.799309"
94,2527,"0.000000,-1.969686,-68.797578"
94,2191,"-0.000000,-1.978137,-68.722055"
94,2724,"-0.000000,-2.195964,-68.731592"
94,2901,"0.000000,-1.970373,-68.798152"
95,3615,"0.561353,-1.684269,-68.781793"
95,1069,"0.601946,-1.775411,-68.784162"
95,2771,"0.560084,-1.685798,-68.849227"
95,3952,"0.561720,-1.684553,-68.802166"
96,1815,"1.072792,-1.449300,-68.816181"
96,3160,"1.223904,-1.353470,-68.823449"
96,3725,"1.224460,-1.353127,-68.811413"
96,23,"1.219432,-1.354609,-68.750328"
