x,y
-0.315830,-2.338073
-0.266826,-2.317844
-0.312354,-2.336639
-0.218423,-2.297862
-0.266826,-2.317844
-0.214686,-2.296319
-0.218423,-2.297862
-0.184353,-2.283797
-0.214686,-2.296319
-0.168930,-2.277430
-0.184353,-2.283797
0.255480,-2.102225
-0.168930,-2.277430
0.270902,-2.095858
0.255480,-2.102225
0.301235,-2.083336
0.270902,-2.095858
0.304973,-2.081793
0.301235,-2.083336
0.381231,-2.050312
0.304973,-2.081793
0.471313,-2.013125
0.381231,-2.050312
0.476017,-2.011183
0.471313,-2.013125
0.516028,-1.994666
0.476017,-2.011183
0.538198,-1.985513
0.516028,-1.994666
0.821984,-1.868361
0.538198,-1.985513
0.844154,-1.859208
0.821984,-1.868361
0.884165,-1.842691
0.844154,-1.859208
0.888870,-1.840749
0.884165,-1.842691
0.960642,-1.811120
0.888870,-1.840749
1.138975,-1.737500
0.960642,-1.811120
1.250775,-1.691347
1.138975,-1.737500
1.267600,-1.684401
1.250775,-1.691347
1.366214,-1.643691
1.267600,-1.684401
1.383040,-1.636745
1.366214,-1.643691
1.487464,-1.593637
1.383040,-1.636745
1.553090,-1.566545
1.487464,-1.593637
1.559466,-1.563913
1.553090,-1.566545
1.621938,-1.538123
1.559466,-1.563913
1.681662,-1.513468
1.621938,-1.538123
1.735516,-1.491236
1.681662,-1.513468
1.795240,-1.466580
1.735516,-1.491236
1.857712,-1.440791
1.795240,-1.466580
1.864088,-1.438158
1.857712,-1.440791
1.980745,-1.390000
1.864088,-1.438158
2.014286,-1.376154
1.980745,-1.390000
2.107051,-1.337859
2.014286,-1.376154
2.111161,-1.336162
2.107051,-1.337859
2.145053,-1.322171
2.111161,-1.336162
2.162764,-1.314859
2.145053,-1.322171
2.528046,-1.164063
2.162764,-1.314859
2.545757,-1.156751
2.528046,-1.164063
2.579649,-1.142760
2.545757,-1.156751
2.583759,-1.141063
2.579649,-1.142760
2.649433,-1.113952
2.583759,-1.141063
-2.488975,-3.127500
-2.645482,-3.192109
-2.118660,-2.974626
-2.488975,-3.127500
-1.647205,-2.780000
-2.118660,-2.974626
-1.591837,-2.757143
-1.647205,-2.780000
-1.333329,-2.650425
-1.591837,-2.757143
-1.192806,-2.592415
-1.333329,-2.650425
-0.965093,-2.498410
-1.192806,-2.592415
-0.904143,-2.473249
-0.965093,-2.498410
-0.900557,-2.471769
-0.904143,-2.473249
-0.871627,-2.459826
-0.900557,-2.471769
